vtkOriginalIndices,Heat[W/m^3],Points:0,Points:1,Points:2,__vtkIsSelected__
361,7.29E+06,0.111,0.0993546,0.0987745,0
362,5.23E+06,0.111,0.0993499,0.0985934,0
363,1.21E+07,0.111,0.10075,0.0992,0
364,5.35E+06,0.111,0.0964539,0.101399,0
365,274126,0.111,0.0991906,0.0939756,0
366,5.56E+06,0.111,0.0977197,0.101381,0
367,4.65E+06,0.111,0.0976863,0.101488,0
368,522308,0.111,0.0999726,0.0955231,0
369,663829,0.111,0.100224,0.0959492,0
370,520530,0.111,0.10009,0.0955214,0
371,845561,0.111,0.0915743,0.096406,0
372,570278,0.111,0.0913482,0.0957945,0
373,201033,0.111,0.108662,0.108164,0
374,185778,0.111,0.109545,0.107714,0
375,125218,0.111,0.108689,0.107327,0
376,4.10E+06,0.111,0.097837,0.101619,0
377,3.41E+06,0.111,0.09809,0.101748,0
378,5.59E+06,0.111,0.0981415,0.101366,0
379,415244,0.111,0.0916651,0.0952547,0
380,698649,0.111,0.092089,0.0960713,0
381,531139,0.111,0.0920818,0.0955474,0
382,150974,0.111,0.104916,0.109448,0
383,144687,0.111,0.105877,0.109201,0
384,3.47E+06,0.111,0.10651,0.101945,0
385,4.70E+06,0.111,0.106166,0.10161,0
386,266222,0.111,0.10408,0.105826,0
387,347429,0.111,0.101212,0.094607,0
388,349301,0.111,0.101193,0.0946201,0
389,395257,0.111,0.102154,0.0949412,0
390,281669,0.111,0.102174,0.0941445,0
391,1.22E+07,0.111,0.09625,0.1008,0
392,8.50E+06,0.111,0.0952742,0.101093,0
393,1.31E+07,0.111,0.09525,0.1008,0
394,9.50E+06,0.111,0.0950481,0.101015,0
395,201722,0.111,0.089603,0.107208,0
396,768551,0.111,0.0939948,0.10375,0
397,608029,0.111,0.0939692,0.104209,0
398,711645,0.111,0.0946326,0.103812,0
399,265175,0.111,0.0924721,0.0941895,0
400,1.02E+06,0.111,0.101276,0.103172,0
401,4.38E+06,0.111,0.0975022,0.0984404,0
402,5.93E+06,0.111,0.0976163,0.0986375,0
403,108335,0.111,0.0962856,0.0912763,0
404,149457,0.111,0.096055,0.090352,0
405,111861,0.111,0.0958935,0.0914018,0
406,1.36E+07,0.111,0.0924171,0.100979,0
407,1.64E+07,0.111,0.0925,0.1008,0
408,1.73E+07,0.111,0.09225,0.1008,0
409,773950,0.111,0.106752,0.103747,0
410,520062,0.111,0.106776,0.104461,0
411,840138,0.111,0.107013,0.103606,0
412,1.29E+07,0.111,0.09875,0.1008,0
413,1.24E+07,0.111,0.099,0.1008,0
414,5.40E+06,0.111,0.101462,0.101348,0
415,3.33E+06,0.111,0.101488,0.101836,0
416,4.95E+06,0.111,0.101737,0.101429,0
417,653913,0.111,0.108913,0.103908,0
418,4.86E+06,0.111,0.089138,0.10025,0
419,5.19E+06,0.111,0.0891796,0.100448,0
420,5.95E+06,0.111,0.0893218,0.100089,0
421,1.74E+06,0.111,0.111644,0.100599,0
422,548907,0.111,0.100865,0.0957084,0
423,715292,0.111,0.100398,0.0961201,0
424,200727,0.111,0.103103,0.0932583,0
425,1.02E+07,0.111,0.100811,0.099023,0
426,1.71E+06,0.111,0.100869,0.102456,0
427,1.18E+06,0.111,0.100573,0.102956,0
428,1.50E+06,0.111,0.101018,0.102653,0
429,1.56E+06,0.111,0.100503,0.10259,0
430,2.26E+06,0.111,0.110053,0.102316,0
431,150853,0.111,0.10044,0.107371,0
432,2.88E+06,0.111,0.0979901,0.101914,0
433,2.74E+06,0.111,0.0981632,0.101991,0
434,3.16E+06,0.111,0.0982162,0.101816,0
435,164477,0.111,0.095084,0.090552,0
436,1.38E+07,0.111,0.09675,0.0992,0
437,1.13E+07,0.111,0.0967218,0.0990296,0
438,1.34E+07,0.111,0.0965,0.0992,0
439,390841,0.111,0.0995144,0.0949422,0
440,392024,0.111,0.0994818,0.0949449,0
441,1.08E+07,0.111,0.09,0.0995182,0
442,1.15E+07,0.111,0.0899522,0.0994769,0
443,9.75E+06,0.111,0.0899791,0.0995264,0
444,1.63E+06,0.111,0.0899773,0.0998779,0
445,1.54E+06,0.111,0.09,0.0998661,0
446,1.30E+06,0.111,0.0921705,0.0968968,0
447,1.36E+06,0.111,0.0922479,0.0969601,0
448,1.05E+06,0.111,0.0927415,0.0966293,0
449,1.41E+06,0.111,0.0929253,0.0969997,0
450,4.88E+06,0.111,0.110208,0.100254,0
451,5.61E+06,0.111,0.110298,0.100266,0
452,3.43E+06,0.111,0.110194,0.0999332,0
453,4.69E+06,0.111,0.110325,0.0999989,0
454,1.84E+06,0.111,0.108488,0.0973374,0
455,1.78E+06,0.111,0.108501,0.0972859,0
456,339489,0.111,0.100423,0.105295,0
457,344743,0.111,0.100455,0.105246,0
458,348956,0.111,0.100436,0.105215,0
459,8.82E+06,0.111,0.090309,0.101432,0
460,9.33E+06,0.111,0.0900721,0.101392,0
461,6.64E+06,0.111,0.0900304,0.101681,0
462,1.01E+07,0.111,0.10037,0.0990615,0
463,1.35E+07,0.111,0.10025,0.0992,0
464,1.63E+06,0.111,0.0974299,0.0974057,0
465,1.68E+06,0.111,0.0975199,0.0974519,0
466,1.61E+06,0.111,0.0974956,0.0973867,0
467,681787,0.111,0.0947559,0.0959574,0
468,663137,0.111,0.0949132,0.0959138,0
469,674599,0.111,0.0947515,0.0959333,0
470,5.90E+06,0.111,0.0932633,0.101497,0
471,3.67E+06,0.111,0.0934077,0.101785,0
472,5.24E+06,0.111,0.0935428,0.101518,0
473,460609,0.111,0.0940234,0.104625,0
474,471436,0.111,0.094059,0.104575,0
475,4.50E+06,0.111,0.110107,0.0983876,0
476,2.12E+06,0.111,0.110098,0.0976163,0
477,2.67E+06,0.111,0.109678,0.0977861,0
478,2.60E+07,0.111,0.10925,0.0992,0
479,1.84E+06,0.111,0.0893749,0.10224,0
480,1.59E+06,0.111,0.107787,0.0971816,0
481,1.04E+06,0.111,0.107128,0.0966324,0
482,1.77E+06,0.111,0.107074,0.0973095,0
483,1.12E+06,0.111,0.0913028,0.0967765,0
484,1.06E+06,0.111,0.101522,0.103114,0
485,890990,0.111,0.10195,0.103395,0
486,1.25E+06,0.111,0.101969,0.102856,0
487,396908,0.111,0.0985597,0.0949763,0
488,372962,0.111,0.0986035,0.094868,0
489,381273,0.111,0.0984422,0.0949083,0
490,116237,0.111,0.107015,0.0919287,0
491,2.99E+06,0.111,0.0961822,0.09807,0
492,4.71E+06,0.111,0.096197,0.0984455,0
493,3.23E+06,0.111,0.0964317,0.0981599,0
494,4.89E+06,0.111,0.0963163,0.0985022,0
495,207576,0.111,0.089058,0.105449,0
496,233445,0.111,0.088788,0.106643,0
497,210238,0.111,0.0892882,0.105563,0
498,1.27E+07,0.111,0.098,0.1008,0
499,1.24E+07,0.111,0.09825,0.1008,0
500,486812,0.111,0.108344,0.0955535,0
501,490433,0.111,0.108349,0.0955612,0
502,486250,0.111,0.108351,0.0955517,0
503,3.20E+07,0.111,0.0905,0.1008,0
504,2.53E+06,0.111,0.0967687,0.102089,0
505,497203,0.111,0.105869,0.104567,0
506,163696,0.111,0.100341,0.107085,0
507,158285,0.111,0.100465,0.107161,0
508,172091,0.111,0.100437,0.106991,0
509,1.82E+07,0.111,0.09225,0.0992,0
510,1.60E+07,0.111,0.0921334,0.0991023,0
511,2.81E+06,0.111,0.101485,0.101961,0
512,1.49E+06,0.111,0.0957203,0.10275,0
513,1.13E+06,0.111,0.0956044,0.103066,0
514,1.13E+06,0.111,0.0958037,0.103045,0
515,354188,0.111,0.107846,0.105039,0
516,364345,0.111,0.108014,0.104948,0
517,413421,0.111,0.10792,0.104757,0
518,160936,0.111,0.093177,0.091094,0
519,1.62E+06,0.111,0.0886435,0.101691,0
520,4.13E+06,0.111,0.089018,0.101235,0
521,1.48E+06,0.111,0.0884876,0.101342,0
522,479516,0.111,0.0955334,0.104536,0
523,581371,0.111,0.0951529,0.104224,0
524,441866,0.111,0.0951558,0.104676,0
525,4.26E+06,0.111,0.0966923,0.101566,0
526,336032,0.111,0.0958108,0.0946081,0
527,300830,0.111,0.0960379,0.0942646,0
528,185496,0.111,0.107753,0.108561,0
529,135525,0.111,0.100099,0.0919625,0
530,147026,0.111,0.100951,0.09224,0
531,107883,0.111,0.100829,0.0911587,0
532,653215,0.111,0.101449,0.103976,0
533,627335,0.111,0.101537,0.104063,0
534,654265,0.111,0.101608,0.103978,0
535,242006,0.111,0.100511,0.10606,0
536,257108,0.111,0.100103,0.10595,0
537,218816,0.111,0.100004,0.106357,0
538,1.76E+06,0.111,0.100609,0.10241,0
539,2.14E+06,0.111,0.100651,0.10224,0
540,1.91E+06,0.111,0.100352,0.102337,0
541,356880,0.111,0.10139,0.105174,0
542,490368,0.111,0.101669,0.104489,0
543,499260,0.111,0.102031,0.104437,0
544,303610,0.111,0.1139,0.096241,0
545,480876,0.111,0.104868,0.104542,0
546,462726,0.111,0.105157,0.104632,0
547,130793,0.111,0.103945,0.109648,0
548,154148,0.111,0.102966,0.109803,0
549,697839,0.111,0.0997131,0.103822,0
550,1.75E+07,0.111,0.10825,0.1008,0
551,1.74E+07,0.111,0.108,0.1008,0
552,1.10E+06,0.111,0.0909456,0.096845,0
553,201569,0.111,0.0916959,0.093586,0
554,280800,0.111,0.105788,0.094206,0
555,1.16E+07,0.111,0.0938838,0.0990775,0
556,1.76E+06,0.111,0.101657,0.102461,0
557,1.66E+06,0.111,0.102055,0.102547,0
558,2.00E+06,0.111,0.101841,0.102328,0
559,1.00E+06,0.111,0.11229,0.0998171,0
560,2.07E+06,0.111,0.0999857,0.102257,0
561,1.74E+06,0.111,0.10012,0.102499,0
562,738705,0.111,0.107244,0.103836,0
563,531930,0.111,0.0889527,0.103426,0
